TABLE_NAME,COLUMN_NAME,COLUMN_TYPE,IS_NULLABLE,COLUMN_KEY,COLUMN_DEFAULT,EXTRA
account,account_id,int,NO,PRI,NULL,auto_increment
account,created_at,datetime(6),YES,,NULL,
account,email,varchar(50),NO,UNI,NULL,
account,full_name,varchar(100),NO,UNI,NULL,
account,password_hash,varchar(255),NO,,NULL,
account,role,varchar(30),NO,,NULL,
chatmessage,message_id,int,NO,PRI,NULL,auto_increment
chatmessage,content,varchar(1000),YES,,NULL,
chatmessage,sent_at,datetime(6),YES,,NULL,
chatmessage,conversation_id,int,NO,MUL,NULL,
chatmessage,receiver_id,int,NO,MUL,NULL,
chatmessage,sender_id,int,NO,MUL,NULL,
conversation,conversation_id,int,NO,PRI,NULL,auto_increment
conversation,created_at,datetime(6),YES,,NULL,
conversation,customer_id,int,NO,MUL,NULL,
conversation,staff_id,int,NO,MUL,NULL,
customer,customer_id,int,NO,PRI,NULL,auto_increment
customer,address,varchar(255),YES,,NULL,
customer,created_at,datetime(6),YES,,NULL,
customer,email,varchar(100),YES,UNI,NULL,
customer,full_name,varchar(100),NO,,NULL,
customer,phone,varchar(20),YES,,NULL,
customer,account_id,int,YES,UNI,NULL,
invoice,invoice_id,int,NO,PRI,NULL,auto_increment
invoice,created_at,datetime(6),YES,,NULL,
invoice,status,varchar(20),YES,,NULL,
invoice,total_amount,"decimal(18,2)",YES,,NULL,
invoice,total_labor_cost,"decimal(18,2)",YES,,NULL,
invoice,total_part_cost,"decimal(18,2)",YES,,NULL,
invoice,record_id,int,NO,UNI,NULL,
maintenancechecklist,checklist_id,int,NO,PRI,NULL,auto_increment
maintenancechecklist,created_at,datetime(6),YES,,NULL,
maintenancechecklist,summary,varchar(500),YES,,NULL,
maintenancechecklist,record_id,int,NO,MUL,NULL,
maintenanceitem,item_id,int,NO,PRI,NULL,auto_increment
maintenanceitem,description,varchar(255),YES,,NULL,
maintenanceitem,labor_cost,"decimal(18,2)",YES,,NULL,
maintenanceitem,name,varchar(100),YES,,NULL,
maintenanceitem,part_cost,"decimal(18,2)",YES,,NULL,
maintenanceitem,status,varchar(20),NO,,NULL,
maintenanceitem,checklist_id,int,NO,MUL,NULL,
maintenanceitem,part_id,int,YES,MUL,NULL,
maintenancepackage,package_id,int,NO,PRI,NULL,auto_increment
maintenancepackage,description,varchar(500),YES,,NULL,
maintenancepackage,mileage_milestone,int,YES,,NULL,
maintenancepackage,name,varchar(150),NO,,NULL,
maintenancerecord,record_id,int,NO,PRI,NULL,auto_increment
maintenancerecord,check_in_time,datetime(6),YES,,NULL,
maintenancerecord,check_out_time,datetime(6),YES,,NULL,
maintenancerecord,mileage_at_service,int,YES,,NULL,
maintenancerecord,note,varchar(500),YES,,NULL,
maintenancerecord,status,varchar(30),NO,,NULL,
maintenancerecord,total_cost,"decimal(18,2)",YES,,NULL,
maintenancerecord,schedule_id,int,NO,MUL,NULL,
maintenancerecord,staff_id,int,YES,MUL,NULL,
maintenancerecord,technician_id,int,YES,MUL,NULL,
maintenanceschedule,schedule_id,int,NO,PRI,NULL,auto_increment
maintenanceschedule,booking_date,datetime(6),NO,,NULL,
maintenanceschedule,created_at,datetime(6),YES,,NULL,
maintenanceschedule,notes,text,YES,,NULL,
